Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Position Size,Stop Loss,Take Profit,Exit Reason,Profit/Loss $,Profit/Loss %,Capital After Trade,Trade Duration
GOOG,2025-01-30,2025-02-05,202.6300048828125,198.57740478515623,8.450734172891751,198.57740478515623,210.735205078125,Stop Loss,-34.247446134328264,-2.0000000000000084,1107.3340916766138,6
TSLA,2024-04-08,2024-04-11,172.97999572753906,169.52039581298828,9.602272971096415,169.52039581298828,179.89919555664062,Stop Loss,-33.22002275029841,-1.9999999999999987,1074.1140689263154,3
TSLA,2024-05-03,2024-05-07,181.19000244140625,177.56620239257813,8.892163373696638,177.56620239257813,188.4376025390625,Stop Loss,-32.223422067789464,-1.999999999999995,1041.890646858526,4
TSLA,2024-05-14,2024-05-15,177.5500030517578,173.99900299072266,8.802230039006002,173.99900299072266,184.65200317382812,Stop Loss,-31.256719405755778,-1.9999999999999987,1010.6339274527702,1
TSLA,2024-05-17,2024-05-20,177.4600067138672,173.91080657958983,8.542493146771022,173.91080657958983,184.55840698242187,Stop Loss,-30.31901782358311,-2.000000000000007,980.3149096291871,3
TSLA,2024-05-30,2024-05-31,178.7899932861328,175.21419342041014,8.22457866582305,175.21419342041014,185.94159301757813,Stop Loss,-29.409447288875615,-2.000000000000009,950.9054623403115,1
TSLA,2024-06-06,2024-06-10,177.94000244140625,174.38120239257813,8.015950173880404,174.38120239257813,185.05760253906251,Stop Loss,-28.527163870209343,-1.9999999999999962,922.3782984701021,4
TSLA,2024-06-21,2024-06-26,183.00999450683594,190.33039428710939,7.560064964940898,179.34979461669923,190.33039428710939,Take Profit,55.34269790820634,4.000000000000005,977.7209963783084,5
TSLA,2024-06-27,2024-07-01,197.4199981689453,205.31679809570312,7.4287382644609945,193.4715982055664,205.31679809570312,Take Profit,58.6632597826985,3.9999999999999982,1036.384256161007,4
TSLA,2024-07-02,2024-07-03,231.25999450683594,240.5103942871094,6.722201942262693,226.63479461669922,240.5103942871094,Take Profit,62.1830553696606,4.000000000000008,1098.5673115306677,1
TSLA,2024-07-05,2024-07-08,251.52000427246094,246.4896041870117,6.551570210339814,246.4896041870117,261.5808044433594,Stop Loss,-32.95701934592003,-2.0000000000000044,1065.6102921847475,3
TSLA,2024-07-09,2024-07-11,262.3299865722656,257.0833868408203,6.093148020029328,257.0833868408203,272.82318603515625,Stop Loss,-31.96830876554242,-2.000000000000001,1033.6419834192052,2
TSLA,2024-07-12,2024-07-15,248.22999572753906,258.1591955566406,6.2460742126854845,243.2653958129883,258.1591955566406,Take Profit,62.01851900515231,3.9999999999999947,1095.6605024243574,3
